episode,timestep,reward
40, 480, -4.9984
85, 960, -5.4536
125, 1440, -1.8863
169, 1920, -5.2913
217, 2400, -1.1893
261, 2880, 0.2159
312, 3360, 0.1774
363, 3840, -0.8059
417, 4320, 0.5126
470, 4800, 0.8473
518, 5280, 0.4297
572, 5760, 0.7563
626, 6240, 0.8541
682, 6720, 0.7635
733, 7200, 1.0769
785, 7680, 1.0845
834, 8160, 1.5317
883, 8640, 1.4761
931, 9120, 1.7607
980, 9600, 1.7024
1024, 10080, 2.4985
1067, 10560, 2.5359
1103, 11040, -3.7677
1143, 11520, -1.2722
1184, 12000, 2.8118
1224, 12480, 2.8798
1260, 12960, 2.0157
1293, 13440, 2.0982
1325, 13920, 4.0228
1362, 14400, 2.651
1388, 14880, 0.9585
1418, 15360, 6.6878
1444, 15840, 3.8246
1473, 16320, 2.9123
1498, 16800, 4.7833
1524, 17280, 5.5709
1546, 17760, 10.3459
1568, 18240, 10.519
1589, 18720, 10.1578
1608, 19200, 13.9444
1623, 19680, 13.0092
1638, 20160, 19.2422
1653, 20640, 10.1839
1669, 21120, 16.6664
1682, 21600, 21.2627
1699, 22080, 20.9143
1711, 22560, 27.506
1722, 23040, 33.2051
1735, 23520, 28.0318
1748, 24000, 28.9451
1760, 24480, 26.0022
1772, 24960, 17.388
1784, 25440, 33.0519
1796, 25920, 30.2254
1806, 26400, 37.5462
1815, 26880, 37.2451
1826, 27360, 33.7121
1836, 27840, 20.3021
1845, 28320, 40.0614
1856, 28800, 36.5265
1867, 29280, 36.6071
1877, 29760, 34.724
1888, 30240, 38.4869
1898, 30720, 38.3517
1908, 31200, 42.3243
1917, 31680, 41.9233
1926, 32160, 42.2713
1935, 32640, 40.7107
1942, 33120, 45.7799
1949, 33600, 43.1823
1957, 34080, 44.1389
1965, 34560, 44.366
1974, 35040, 45.5488
1981, 35520, 49.6732
1990, 36000, 45.5268
1999, 36480, 45.4157
2007, 36960, 46.348
2013, 37440, 50.6062
2020, 37920, 60.7885
2028, 38400, 46.5547
2035, 38880, 50.3697
2041, 39360, 50.7093
2048, 39840, 52.9004
2056, 40320, 44.7306
2063, 40800, 53.0152
2069, 41280, 55.5648
2076, 41760, 46.8506
2084, 42240, 50.1555
2089, 42720, 65.2213
2093, 43200, 66.7436
2100, 43680, 51.9369
2106, 44160, 53.9347
2112, 44640, 55.441
2119, 45120, 54.1112
2123, 45600, 70.2919
2129, 46080, 61.5935
2135, 46560, 61.7441
2141, 47040, 60.7244
2147, 47520, 59.9668
2154, 48000, 58.897
2159, 48480, 61.6995
2165, 48960, 62.0128
2172, 49440, 52.9028
2176, 49920, 64.4339
2182, 50400, 59.8563
2188, 50880, 43.0069
2193, 51360, 69.4294
2199, 51840, 64.7919
2204, 52320, 67.2563
2209, 52800, 63.1625
2213, 53280, 68.9268
2218, 53760, 74.1481
2223, 54240, 62.1244
2226, 54720, 78.7309
2232, 55200, 50.2291
2237, 55680, 57.6274
2242, 56160, 63.7752
2247, 56640, 67.4014
2252, 57120, 69.8639
2257, 57600, 64.758
2261, 58080, 70.5592
2267, 58560, 63.4467
2272, 59040, 64.3429
2277, 59520, 60.0754
2282, 60000, 63.7629
2285, 60480, 73.8281
2291, 60960, 68.1011
2295, 61440, 69.1476
2300, 61920, 71.1245
2305, 62400, 63.892
2309, 62880, 72.5411
2314, 63360, 66.0192
2319, 63840, 62.4321
2324, 64320, 73.9534
2328, 64800, 75.4896
2333, 65280, 60.2629
2338, 65760, 70.3853
2342, 66240, 67.8881
2348, 66720, 66.5033
2352, 67200, 67.5705
2356, 67680, 69.8279
2361, 68160, 65.3437
2365, 68640, 78.4686
2369, 69120, 85.6686
2373, 69600, 71.5976
2377, 70080, 77.4534
2381, 70560, 76.6635
2384, 71040, 88.4603
2389, 71520, 47.911
2392, 72000, 83.3512
2396, 72480, 70.3057
2399, 72960, 81.1016
2401, 73440, 89.9626
2405, 73920, 78.4609
2408, 74400, 83.7983
2411, 74880, 89.0597
2414, 75360, 76.9557
2418, 75840, 71.9731
2420, 76320, 87.1705
2423, 76800, 81.1836
2427, 77280, 80.4522
2430, 77760, 84.4494
2433, 78240, 83.1016
2436, 78720, 75.2326
2439, 79200, 86.6736
2443, 79680, 85.1942
2446, 80160, 81.4601
2451, 80640, 66.5567
2454, 81120, 83.3508
2456, 81600, 86.5547
2460, 82080, 65.7199
2463, 82560, 92.6395
2466, 83040, 95.4916
2471, 83520, 58.4015
2474, 84000, 88.0274
2477, 84480, 93.6328
2479, 84960, 96.5387
2482, 85440, 72.1491
2485, 85920, 80.1792
2489, 86400, 78.2115
2493, 86880, 81.6063
2496, 87360, 84.7413
2499, 87840, 89.0223
2503, 88320, 69.6264
2505, 88800, 106.3879
2508, 89280, 68.5581
2514, 89760, 62.7502
2517, 90240, 83.7746
2521, 90720, 66.6423
2523, 91200, 115.2268
2525, 91680, 127.58
2528, 92160, 102.9129
2530, 92640, 83.3767
2533, 93120, 115.0249
2536, 93600, 101.4464
2538, 94080, 83.4472
2542, 94560, 76.5554
2545, 95040, 103.076
2550, 95520, -90.5734
2553, 96000, 89.2971
2555, 96480, 113.6386
2559, 96960, 83.4962
2561, 97440, 118.9927
2564, 97920, 91.0885
2567, 98400, 80.8101
2570, 98880, 96.8552
2572, 99360, 136.0911
2574, 99840, 134.684
2576, 100320, 124.9557
2579, 100800, 69.9966
2582, 101280, 111.3037
2584, 101760, 86.729
2586, 102240, 111.9735
2589, 102720, 122.0774
2591, 103200, 91.8423
2593, 103680, 129.2307
2596, 104160, 101.9186
2598, 104640, 130.7388
2602, 105120, 60.1414
2605, 105600, 110.4625
2608, 106080, 90.9699
2610, 106560, 120.0525
2612, 107040, 110.2524
2615, 107520, 116.2051
2617, 108000, 94.9606
2621, 108480, 90.6446
2623, 108960, 128.6607
2625, 109440, 125.2838
2627, 109920, 131.5947
2629, 110400, 102.2773
2632, 110880, 104.8307
2634, 111360, 113.125
2636, 111840, 121.6886
2639, 112320, 112.2467
2641, 112800, 105.4517
2644, 113280, 93.5742
2646, 113760, 127.2887
2648, 114240, 121.2534
2651, 114720, 96.2838
2654, 115200, 96.9361
2656, 115680, 120.5761
2658, 116160, 125.5094
2660, 116640, 128.5526
2662, 117120, 122.4511
2664, 117600, 134.0267
2666, 118080, 128.5473
2668, 118560, 124.2858
2671, 119040, 100.4425
2674, 119520, 84.8135
2676, 120000, 133.0812
2678, 120480, 112.0648
2680, 120960, 132.2773
2682, 121440, 132.5353
2684, 121920, 134.1138
2686, 122400, 124.9509
2689, 122880, 84.3046
2691, 123360, 121.4959
2693, 123840, 129.5563
2695, 124320, 119.1838
2697, 124800, 110.1097
2701, 125280, 82.9211
2704, 125760, 84.3251
2707, 126240, 52.1038
2710, 126720, 55.7374
2712, 127200, 121.1052
2714, 127680, 100.6496
2717, 128160, 116.4146
2719, 128640, 130.4948
2721, 129120, 132.495
2723, 129600, 99.7172
2726, 130080, 120.9971
2728, 130560, 116.0485
2733, 131040, 63.1357
2735, 131520, 105.6506
2737, 132000, 144.8113
2740, 132480, 110.5084
2742, 132960, 119.6268
2744, 133440, 118.6841
2746, 133920, 126.2947
2748, 134400, 126.6654
2750, 134880, 97.9575
2752, 135360, 142.3423
2756, 135840, 92.0695
2758, 136320, 127.611
2760, 136800, 122.3141
2763, 137280, 95.49
2765, 137760, 133.2175
2768, 138240, 84.8778
2770, 138720, 86.3949
2773, 139200, 112.8986
2775, 139680, 133.7089
2779, 140160, 68.049
2781, 140640, 126.4144
2783, 141120, 126.1088
2787, 141600, 78.1433
2790, 142080, 100.7809
2792, 142560, 124.383
2794, 143040, 120.8915
2796, 143520, 133.1731
2799, 144000, 98.6546
2802, 144480, 81.8494
2805, 144960, 96.0394
2809, 145440, 64.5087
2812, 145920, 77.1099
2816, 146400, 70.5658
2819, 146880, 128.2181
2822, 147360, 75.0536
2824, 147840, 130.3966
2826, 148320, 131.698
2829, 148800, 97.6574
2832, 149280, 72.8443
2837, 149760, 80.624
2840, 150240, 74.3613
2843, 150720, 108.3919
2847, 151200, 78.8376
2850, 151680, 61.6787
2854, 152160, 88.3554
2856, 152640, 138.5734
2858, 153120, 131.6533
2861, 153600, 94.4381
2863, 154080, 99.4687
2867, 154560, 88.6797
2869, 155040, 129.1388
2872, 155520, 91.3657
2874, 156000, -277.3513
2876, 156480, 135.3608
2878, 156960, 86.1482
2881, 157440, -34.0269
2883, 157920, 122.6027
2886, 158400, 95.837
2892, 158880, 61.0829
2895, 159360, 105.0759
2898, 159840, 83.6875
2901, 160320, 103.6507
2903, 160800, 133.6344
2905, 161280, 128.6345
2907, 161760, 130.8194
2909, 162240, 94.8669
2911, 162720, 140.4963
2914, 163200, 107.435
2917, 163680, 94.892
2919, 164160, 129.4107
2923, 164640, 81.527
2928, 165120, 51.8833
2931, 165600, 96.2626
2934, 166080, 72.3328
2937, 166560, 100.6853
2940, 167040, 108.8276
2943, 167520, 78.4006
2945, 168000, 115.1663
2948, 168480, 97.8516
2951, 168960, 105.7096
2953, 169440, 117.4994
2957, 169920, 95.3699
2959, 170400, 123.8875
2961, 170880, 128.1056
2963, 171360, 123.1997
2965, 171840, 119.642
2967, 172320, 129.034
2969, 172800, 84.2241
2972, 173280, 119.2612
2974, 173760, 130.9979
2976, 174240, 123.2363
2978, 174720, 137.0856
2980, 175200, 134.0038
2982, 175680, 123.6346
2984, 176160, 81.4157
2987, 176640, 97.4158
2989, 177120, 130.7951
2995, 177600, 70.0086
3000, 178080, 59.2991
3003, 178560, 71.8425
3005, 179040, 137.9826
3009, 179520, 85.5368
3011, 180000, 140.7364
3013, 180480, 127.4553
3015, 180960, 126.3613
3019, 181440, 69.1162
3021, 181920, 121.0299
3023, 182400, 87.8511
3026, 182880, 103.8218
3028, 183360, 118.6118
3030, 183840, 130.8695
3033, 184320, 86.7393
3036, 184800, 102.5883
3038, 185280, 96.6988
3040, 185760, 122.5701
3042, 186240, 124.5335
3045, 186720, 100.5195
3049, 187200, 81.5523
3051, 187680, 105.1708
3053, 188160, 99.9753
3056, 188640, 99.8738
3058, 189120, 127.1655
3060, 189600, 121.9428
3063, 190080, 113.1984
3065, 190560, 91.5
3067, 191040, 132.208
3070, 191520, 109.4351
3072, 192000, 131.3299
3074, 192480, 139.6879
3076, 192960, 88.6328
3079, 193440, 119.0996
3081, 193920, 97.4028
3084, 194400, 111.0004
3087, 194880, 114.2242
3089, 195360, 128.0194
3091, 195840, 136.7406
3095, 196320, 70.1102
3098, 196800, 99.2528
3100, 197280, 134.0476
3102, 197760, 97.3458
3104, 198240, 131.3618
3109, 198720, 85.4111
3111, 199200, 123.4713
3113, 199680, 135.7721
3115, 200160, 103.2952
3118, 200640, 99.5472
3120, 201120, 112.4432
3122, 201600, 122.7804
3124, 202080, 134.0346
3126, 202560, 120.5875
