episode,timestep,reward, averagate_reward_100
71, 960, 2.0656, 2.0656
144, 1920, 2.0005, 2.0457
208, 2880, 2.4289, 2.7331
270, 3840, 2.9227, 3.8887
328, 4800, 3.192, 3.8648
388, 5760, 3.4559, 4.831
437, 6720, 4.0014, 6.205
483, 7680, 4.3501, 8.1161
525, 8640, 5.1117, 10.5893
566, 9600, 5.5117, 10.8173
597, 10560, 6.4648, 15.531
628, 11520, 7.1849, 17.3557
657, 12480, 7.5284, 19.9627
687, 13440, 8.3791, 21.5816
713, 14400, 9.5636, 26.1795
735, 15360, 10.6832, 32.6579
759, 16320, 11.5056, 37.3252
782, 17280, 12.4823, 42.4721
802, 18240, 13.6786, 44.8458
825, 19200, 14.6538, 46.2836
844, 20160, 15.6418, 49.5803
863, 21120, 16.8867, 56.5538
882, 22080, 18.1879, 62.8059
899, 23040, 19.4478, 67.4508
918, 24000, 20.4084, 69.3738
937, 24960, 21.543, 74.7416
954, 25920, 22.6375, 76.7417
972, 26880, 23.8401, 78.61
989, 27840, 24.8337, 79.3028
1006, 28800, 26.0081, 81.2157
1023, 29760, 26.9465, 84.7467
1041, 30720, 28.0023, 86.3458
1058, 31680, 28.7715, 84.6067
1074, 32640, 29.5637, 83.6739
1091, 33600, 30.669, 87.1905
1107, 34560, 31.6947, 88.4696
1125, 35520, 32.5943, 89.357
1142, 36480, 33.4936, 90.3389
1158, 37440, 34.4719, 94.7826
1175, 38400, 35.4679, 98.1852
1191, 39360, 36.2777, 97.4694
1208, 40320, 36.9337, 94.181
1225, 41280, 37.7952, 96.3048
1241, 42240, 38.6293, 97.3509
1259, 43200, 39.3642, 95.2617
1276, 44160, 40.1935, 95.1011
1293, 45120, 40.9833, 96.1585
1310, 46080, 41.7052, 98.4503
1326, 47040, 42.3396, 97.4315
1343, 48000, 43.064, 97.7416
1360, 48960, 43.7951, 98.9506
1377, 49920, 44.4775, 98.5255
1395, 50880, 45.1242, 97.5298
1412, 51840, 45.7451, 97.5373
1429, 52800, 46.4122, 98.6209
1446, 53760, 47.0413, 98.7374
1463, 54720, 47.6612, 98.9698
1480, 55680, 48.2946, 99.5108
1497, 56640, 48.9214, 100.8198
1513, 57600, 49.4483, 101.1952
1529, 58560, 50.0061, 101.3633
1547, 59520, 50.431, 98.9815
1563, 60480, 50.9732, 99.4272
1579, 61440, 51.4827, 99.1858
1596, 62400, 52.0196, 98.9065
1612, 63360, 52.5248, 99.5568
1629, 64320, 53.0106, 98.949
1647, 65280, 53.4954, 100.9014
1664, 66240, 53.9571, 100.0737
1680, 67200, 54.4372, 100.6035
1697, 68160, 54.9264, 100.8437
1714, 69120, 55.3972, 101.0219
1731, 70080, 55.857, 101.3101
1747, 71040, 56.2935, 102.3783
1764, 72000, 56.7513, 103.2461
1780, 72960, 57.1633, 102.9612
1798, 73920, 57.5937, 102.3964
1814, 74880, 57.9932, 102.4886
1831, 75840, 58.4018, 102.4521
1848, 76800, 58.8108, 102.3326
1865, 77760, 59.2004, 101.9474
1883, 78720, 59.5695, 101.089
1900, 79680, 59.9602, 101.5976
1917, 80640, 60.3414, 101.6302
1934, 81600, 60.7211, 101.9216
1951, 82560, 61.0969, 102.1169
1968, 83520, 61.474, 102.6592
1985, 84480, 61.8381, 103.7619
2002, 85440, 62.1821, 103.5828
2020, 86400, 62.5447, 103.5834
2038, 87360, 62.8606, 102.4216
2056, 88320, 63.1502, 101.0686
2073, 89280, 63.4912, 101.1382
2091, 90240, 63.8389, 101.192
2109, 91200, 64.1165, 100.1092
2127, 92160, 64.4374, 99.9585
2144, 93120, 64.7158, 101.1732
2162, 94080, 65.0213, 101.0765
2180, 95040, 65.2729, 99.5517
2198, 96000, 65.5739, 100.0033
2215, 96960, 65.8562, 100.6038
2233, 97920, 66.1575, 100.6387
2250, 98880, 66.441, 101.3621
2268, 99840, 66.7311, 101.5011
2285, 100800, 67.0083, 103.0068
2303, 101760, 67.2785, 102.95
2320, 102720, 67.5303, 102.8694
2338, 103680, 67.7513, 101.6873
2356, 104640, 68.0168, 101.159
2373, 105600, 68.2554, 101.0798
2391, 106560, 68.5045, 100.6506
2408, 107520, 68.7731, 101.4651
2426, 108480, 68.9972, 101.9687
2444, 109440, 69.2631, 102.5307
2461, 110400, 69.4952, 102.498
2479, 111360, 69.7384, 103.1521
2497, 112320, 69.9537, 102.4315
2514, 113280, 70.1841, 103.1788
2532, 114240, 70.4313, 103.0574
2549, 115200, 70.6574, 103.2629
2567, 116160, 70.8966, 103.7125
2584, 117120, 71.1128, 103.4379
2602, 118080, 71.2982, 103.1553
2620, 119040, 71.4885, 102.3503
2637, 120000, 71.7009, 102.2387
