episode,timestep,reward
43, 480, 9.1867
87, 960, 9.3109
116, 1440, 11.5256
154, 1920, 10.5185
181, 2400, 12.1132
202, 2880, 14.549
224, 3360, 13.8036
244, 3840, 16.099
259, 4320, 16.9522
282, 4800, 16.6866
297, 5280, 19.3614
311, 5760, 18.1218
317, 6240, 31.5283
326, 6720, 26.8722
335, 7200, 29.196
342, 7680, 25.8073
352, 8160, 23.8867
356, 8640, 37.1196
363, 9120, 32.0424
371, 9600, 31.6874
375, 10080, 35.921
382, 10560, 35.3926
388, 11040, 29.6062
392, 11520, 41.0712
396, 12000, 37.3216
399, 12480, 37.187
404, 12960, 46.5329
408, 13440, 53.4484
412, 13920, 61.8313
415, 14400, 60.49
417, 14880, 38.1603
420, 15360, 65.6566
422, 15840, 66.5533
424, 16320, 59.2956
426, 16800, 92.5207
429, 17280, 95.1278
431, 17760, 92.0342
433, 18240, 62.7026
435, 18720, 66.0863
438, 19200, 60.0823
441, 19680, 111.4879
443, 20160, 58.6289
446, 20640, 43.3147
449, 21120, 74.7859
451, 21600, 118.9005
453, 22080, 85.1736
455, 22560, 136.1653
457, 23040, 146.4709
459, 23520, 113.6054
461, 24000, 98.3844
463, 24480, 129.0664
467, 24960, 73.1985
469, 25440, 104.8996
471, 25920, 80.2623
473, 26400, 107.7497
475, 26880, 26.6438
477, 27360, 118.4139
479, 27840, 126.2831
482, 28320, 75.1056
484, 28800, 78.8122
486, 29280, 68.4689
488, 29760, 60.0633
490, 30240, 87.7127
492, 30720, 103.8077
495, 31200, 73.7514
497, 31680, 54.1899
499, 32160, 151.1825
501, 32640, 95.0345
504, 33120, 116.3588
506, 33600, 78.1538
509, 34080, 78.9742
511, 34560, 85.4464
513, 35040, 139.6277
515, 35520, 103.623
517, 36000, 120.1319
519, 36480, 106.2611
521, 36960, 105.4287
523, 37440, 137.9922
525, 37920, 106.9036
527, 38400, 108.0901
529, 38880, 104.2658
531, 39360, 128.9179
533, 39840, 93.6038
535, 40320, 103.2631
537, 40800, 132.8207
539, 41280, 93.7626
541, 41760, 125.3946
543, 42240, 105.9667
545, 42720, 106.653
547, 43200, 103.2936
