episode,timestep,reward
27, 960, -0.084
55, 1920, -0.0873
90, 2880, -0.068
124, 3840, -0.0653
166, 4800, -0.0672
212, 5760, -0.0504
243, 6720, -0.0666
285, 7680, -0.05
329, 8640, -0.0494
370, 9600, -0.0552
420, 10560, -0.0464
472, 11520, -0.047
516, 12480, -0.0461
561, 13440, -0.0491
601, 14400, -0.118
643, 15360, -0.0008
687, 16320, -0.0571
726, 17280, -0.0677
774, 18240, -0.0481
825, 19200, -0.045
866, 20160, -0.0753
908, 21120, -0.0688
955, 22080, -0.0506
1005, 23040, -0.0466
1044, 24000, -0.0729
1090, 24960, -0.052
1129, 25920, -0.0567
1170, 26880, -0.0603
1201, 27840, -0.2377
1242, 28800, 0.0507
1282, 29760, -0.0643
1317, 30720, -0.0839
1361, 31680, -0.0532
1408, 32640, -0.0517
1448, 33600, -0.0645
1489, 34560, -0.0554
1527, 35520, -0.0584
1562, 36480, -0.074
1598, 37440, 0.2117
1636, 38400, -0.0471
1680, 39360, -0.0516
1722, 40320, -0.0483
1764, 41280, -0.05
1802, 42240, -0.0483
1840, 43200, -0.0536
1870, 44160, -0.0822
1900, 45120, -0.0639
1923, 46080, -0.1566
1939, 47040, -0.2324
1958, 48000, -0.1821
1976, 48960, -0.2122
1996, 49920, -0.2036
2008, 50880, -0.3273
2029, 51840, -0.1526
2046, 52800, -0.2785
2064, 53760, -0.1167
2083, 54720, -0.2216
2099, 55680, -0.1849
2114, 56640, -0.284
2126, 57600, -0.4748
2141, 58560, -0.1402
2159, 59520, -0.2757
2177, 60480, -0.1985
2190, 61440, -0.4417
2203, 62400, -0.3271
2215, 63360, -0.2995
2225, 64320, -0.5069
2239, 65280, -0.3903
2254, 66240, -0.2796
2267, 67200, -0.3842
2282, 68160, -0.3516
2297, 69120, -0.3222
2314, 70080, -0.2599
2330, 71040, -0.3065
2344, 72000, -0.3349
2360, 72960, -0.2112
2375, 73920, -0.4258
2383, 74880, -0.5453
2397, 75840, -0.4537
2410, 76800, -0.4946
2424, 77760, -0.1937
2437, 78720, -0.374
2452, 79680, -0.4472
2465, 80640, -0.236
2478, 81600, -0.4411
2492, 82560, -0.3601
2499, 83520, -0.7828
2513, 84480, -0.3722
2527, 85440, -0.3687
2541, 86400, -0.2953
2552, 87360, -0.5954
2566, 88320, -0.3138
2582, 89280, -0.2802
2595, 90240, -0.3806
2611, 91200, -0.244
2624, 92160, -0.3505
2637, 93120, -0.4281
2653, 94080, 0.2793
2671, 95040, -0.1943
2685, 96000, -0.3704
2705, 96960, -0.1272
2718, 97920, -0.2872
2733, 98880, -0.2851
2748, 99840, -0.242
2763, 100800, -0.2482
2776, 101760, -0.2352
2789, 102720, -0.428
2800, 103680, -0.393
2811, 104640, -0.3664
2825, 105600, -0.3176
2841, 106560, -0.1937
2852, 107520, -0.3117
2866, 108480, -0.079
2877, 109440, -0.5909
2890, 110400, -0.3853
2904, 111360, -0.1617
2917, 112320, -0.0841
2933, 113280, -0.4296
2944, 114240, -0.2925
2955, 115200, -0.3935
2968, 116160, -0.2521
2977, 117120, -0.6383
2989, 118080, -0.5091
3002, 119040, 0.0296
3014, 120000, -0.4648
3026, 120960, -0.2717
3037, 121920, -0.5261
3049, 122880, -0.336
3058, 123840, -0.2518
3068, 124800, -0.3362
3077, 125760, -0.8823
3089, 126720, -0.0414
3101, 127680, -0.3278
3109, 128640, -0.7712
3119, 129600, -0.3476
3130, 130560, -0.2338
3142, 131520, -0.2868
3154, 132480, -0.4073
3167, 133440, -0.3681
3176, 134400, -0.2662
3186, 135360, -0.3533
3197, 136320, -0.3502
3208, 137280, -0.4862
3218, 138240, -0.3492
3229, 139200, -0.2231
3240, 140160, -0.2816
3250, 141120, -0.4712
3261, 142080, -0.6217
3272, 143040, -0.1413
3281, 144000, -0.3881
3292, 144960, -0.4136
3305, 145920, -0.2809
3313, 146880, -0.4348
3326, 147840, -0.4159
3338, 148800, -0.4288
3350, 149760, -0.1454
3362, 150720, -0.451
3372, 151680, -0.3146
3385, 152640, -0.1829
3395, 153600, -0.6306
3405, 154560, -0.4318
3415, 155520, -0.1251
3425, 156480, -0.4132
3437, 157440, -0.2997
3448, 158400, -0.3564
3456, 159360, -0.8505
3467, 160320, -0.3605
3477, 161280, -0.4863
3488, 162240, -0.2335
3496, 163200, -0.3796
3507, 164160, -0.5341
3518, 165120, -0.1204
3528, 166080, -0.7309
3537, 167040, -0.1751
3548, 168000, -0.3652
3558, 168960, -0.3295
3566, 169920, -0.614
3574, 170880, -0.7056
3583, 171840, -0.3795
3590, 172800, -0.85
3600, 173760, -0.4024
3611, 174720, -0.5114
3621, 175680, -0.1232
3632, 176640, -0.3092
3642, 177600, -0.45
3653, 178560, -0.1722
3665, 179520, -0.524
3675, 180480, -0.1053
3684, 181440, -0.3557
3696, 182400, -0.3774
3708, 183360, -0.2136
3717, 184320, -0.4018
3727, 185280, -0.341
3737, 186240, -0.314
3747, 187200, -0.3567
3757, 188160, -0.3906
3766, 189120, -0.2606
3776, 190080, -0.3814
3786, 191040, -0.2241
3796, 192000, -0.3993
3807, 192960, -0.5549
3817, 193920, -0.1322
3826, 194880, -0.3086
3836, 195840, -0.4766
3846, 196800, -0.2274
3856, 197760, -0.3589
3865, 198720, -0.3811
3875, 199680, -0.3881
3884, 200640, -0.338
3893, 201600, -0.333
3902, 202560, -0.3382
3912, 203520, -0.3629
3920, 204480, -0.4263
3929, 205440, -0.3363
3940, 206400, -0.3396
3949, 207360, -0.3787
3959, 208320, -0.5627
3969, 209280, -0.3506
3979, 210240, -0.1046
3990, 211200, 0.1404
4005, 212160, -0.1593
4019, 213120, -0.3659
4029, 214080, -0.3782
4045, 215040, -0.5099
4057, 216000, -0.6298
4068, 216960, -0.0534
4081, 217920, -0.9451
4091, 218880, -0.5684
4105, 219840, -0.154
4118, 220800, -0.5613
4128, 221760, -0.6795
4141, 222720, -0.464
4154, 223680, -0.4013
4167, 224640, -0.3609
4180, 225600, -0.1483
4197, 226560, -0.5666
4208, 227520, -0.0299
4217, 228480, -1.2222
4227, 229440, -0.4692
4236, 230400, -0.2887
4245, 231360, -0.6135
4255, 232320, -0.8654
4269, 233280, -0.3267
4279, 234240, -0.5849
4290, 235200, -0.4098
4302, 236160, -0.4414
4311, 237120, -0.7549
4324, 238080, -0.5452
4334, 239040, -0.6344
4345, 240000, -0.5178
4357, 240960, -0.4303
4368, 241920, -0.1126
4377, 242880, -0.9599
4386, 243840, -0.624
4393, 244800, -1.0995
4403, 245760, -0.6982
4412, 246720, -1.0785
4420, 247680, -0.3615
4429, 248640, -1.4418
4440, 249600, -0.175
4450, 250560, -0.7844
4459, 251520, -1.0833
4468, 252480, -0.4275
4477, 253440, -0.7125
4485, 254400, -1.3407
4493, 255360, -0.6151
4501, 256320, -0.7256
4511, 257280, -0.5552
4520, 258240, -1.1178
4530, 259200, -0.6465
4540, 260160, -0.1272
4550, 261120, -0.633
4559, 262080, -1.1923
4568, 263040, -0.8401
4578, 264000, -0.3305
4587, 264960, -1.1833
4596, 265920, -0.744
4607, 266880, -0.5166
4616, 267840, -0.7923
4625, 268800, -0.27
4635, 269760, -0.898
4645, 270720, -0.3638
4653, 271680, -1.1985
4662, 272640, -0.9241
4671, 273600, -0.0258
4680, 274560, -0.8669
4689, 275520, -0.9264
4698, 276480, -0.2926
4706, 277440, -0.7289
4715, 278400, -0.8854
4723, 279360, -0.8608
4730, 280320, -0.8912
4740, 281280, -0.6811
4747, 282240, -0.9133
4757, 283200, -0.6568
4764, 284160, -0.8322
4774, 285120, -0.6396
4782, 286080, -0.789
4791, 287040, -0.6566
4800, 288000, -0.5514
4809, 288960, -0.8246
4818, 289920, -0.4387
4827, 290880, -0.6635
4837, 291840, -0.6318
4845, 292800, -0.6472
4853, 293760, -0.6654
4863, 294720, -0.5342
4872, 295680, -0.5862
4881, 296640, -0.6727
4890, 297600, -0.6952
4900, 298560, -0.6158
4909, 299520, -0.865
4919, 300480, -0.1546
4928, 301440, -0.6269
4936, 302400, -0.7693
4946, 303360, -0.5862
4956, 304320, -0.4996
4967, 305280, -0.8545
4976, 306240, -0.4558
4984, 307200, -0.3978
4992, 308160, -0.716
5002, 309120, -0.5517
5011, 310080, -0.7155
5020, 311040, -0.6049
5029, 312000, -0.6175
5039, 312960, -0.9099
5048, 313920, -0.1493
5057, 314880, -0.6119
5067, 315840, -1.0425
5076, 316800, -0.1595
5085, 317760, -0.5073
5095, 318720, -0.5968
5102, 319680, -0.8338
5114, 320640, -0.4719
5123, 321600, -0.4996
5132, 322560, -0.5852
5141, 323520, -0.6505
5150, 324480, -0.7129
5158, 325440, -0.7973
5167, 326400, -0.4917
5176, 327360, -0.7703
5186, 328320, -0.4717
5194, 329280, -0.7419
5203, 330240, -0.6339
5211, 331200, -0.4733
5220, 332160, -1.0141
5229, 333120, -0.7867
5239, 334080, -0.1576
5247, 335040, -0.5539
5256, 336000, -0.4876
5265, 336960, -0.5569
5274, 337920, -0.8353
5283, 338880, -0.5361
5291, 339840, -0.288
5300, 340800, -0.5586
5309, 341760, -0.5794
5318, 342720, -0.479
5327, 343680, -0.6055
5336, 344640, -0.402
5344, 345600, -0.6913
5352, 346560, -0.5909
5361, 347520, -0.4289
5370, 348480, -0.5286
5379, 349440, -0.8921
5388, 350400, -0.1576
5397, 351360, -0.524
5406, 352320, -0.5782
5414, 353280, -0.5698
5423, 354240, -0.9865
5431, 355200, -0.4999
5440, 356160, -0.4722
5448, 357120, -0.5286
5458, 358080, -0.5176
5466, 359040, -0.6281
5474, 360000, -0.4205
5482, 360960, -0.5921
5491, 361920, -0.6672
5499, 362880, -0.5492
5507, 363840, -0.6199
5515, 364800, -0.5248
5524, 365760, -0.7792
5532, 366720, -0.2164
5541, 367680, -0.5682
5550, 368640, -0.5274
5558, 369600, -0.5369
5567, 370560, -0.5038
5576, 371520, -0.4335
5585, 372480, -0.5929
5593, 373440, -0.591
5603, 374400, -0.466
5612, 375360, -0.6336
5620, 376320, -0.5762
5629, 377280, -0.6971
5637, 378240, -0.7242
5646, 379200, -0.4323
5654, 380160, -0.5214
5662, 381120, -0.7078
5671, 382080, -1.0376
5680, 383040, -0.0273
5689, 384000, -0.5013
5698, 384960, -0.5817
5707, 385920, -0.7292
5715, 386880, -0.4958
5724, 387840, -0.4982
5733, 388800, -0.6241
5741, 389760, -0.608
5749, 390720, -0.539
5758, 391680, -0.7596
5767, 392640, -0.6329
5775, 393600, -0.3904
5784, 394560, -0.6345
5793, 395520, -0.6149
5802, 396480, -0.6006
5810, 397440, -0.6458
5818, 398400, -0.444
5827, 399360, -0.4759
5835, 400320, -0.6182
5845, 401280, -0.4977
5854, 402240, -0.4851
5863, 403200, -0.4515
5872, 404160, -1.017
5881, 405120, 0.0772
5889, 406080, -0.9187
5898, 407040, -0.0672
5907, 408000, -0.4213
5916, 408960, -0.5108
5925, 409920, -0.4538
5933, 410880, -0.3868
5942, 411840, -0.62
5951, 412800, -0.3709
5959, 413760, -0.446
5968, 414720, -0.3779
5976, 415680, -0.5778
5985, 416640, -0.3734
5994, 417600, -0.4469
6002, 418560, -0.5762
6012, 419520, -0.333
6020, 420480, -0.4415
6029, 421440, -0.5024
6038, 422400, -0.4659
6048, 423360, -0.4384
6057, 424320, -0.3811
6067, 425280, -1.0327
6075, 426240, 0.21
6084, 427200, -0.3837
6093, 428160, -0.5941
6102, 429120, -0.3128
6111, 430080, -0.4073
6121, 431040, -0.3707
6131, 432000, -0.3394
6140, 432960, -0.5537
6148, 433920, -0.4336
6157, 434880, -0.9014
6167, 435840, -0.0264
6176, 436800, -0.3955
6186, 437760, -0.7346
6195, 438720, 0.0196
6204, 439680, -0.8524
6213, 440640, 0.0206
6223, 441600, -0.4105
6233, 442560, -0.3096
6242, 443520, -0.4751
6251, 444480, -0.3421
6260, 445440, -0.363
6268, 446400, -0.465
6277, 447360, -0.451
6286, 448320, -0.4471
6296, 449280, -0.4063
6304, 450240, -0.3948
6313, 451200, -0.5184
6322, 452160, -0.5823
6331, 453120, -0.3903
6340, 454080, -0.4003
6349, 455040, -0.4795
6358, 456000, -0.4771
6367, 456960, -0.4181
6376, 457920, -0.4524
6384, 458880, -0.5719
6394, 459840, -0.8773
6403, 460800, 0.1555
6412, 461760, -0.4372
6420, 462720, -0.408
6429, 463680, -0.4943
6438, 464640, -0.443
6447, 465600, -1.0307
6456, 466560, 0.1078
6465, 467520, -0.465
6474, 468480, -0.4779
6483, 469440, -1.0017
6492, 470400, 0.152
6501, 471360, -0.4372
6510, 472320, -0.4484
6519, 473280, -0.3785
6528, 474240, -0.3894
6538, 475200, -0.3921
6547, 476160, -0.6178
6556, 477120, -0.1548
6565, 478080, -0.9081
6573, 479040, -0.0483
6582, 480000, -0.4825
6591, 480960, -0.4598
6599, 481920, -0.5363
6608, 482880, -0.4351
6616, 483840, -0.4488
6625, 484800, -0.4747
6633, 485760, -0.4599
6642, 486720, -0.4598
6651, 487680, -0.4557
6660, 488640, -0.4394
6669, 489600, -0.4387
6678, 490560, -0.4753
6687, 491520, -0.4445
6695, 492480, -0.4281
6704, 493440, -0.4583
6714, 494400, -0.904
6722, 495360, 0.191
6731, 496320, -0.4199
6739, 497280, -0.478
6748, 498240, -0.4915
6757, 499200, -0.3787
6766, 500160, -0.4818
6776, 501120, -0.3883
6785, 502080, -0.4332
6793, 503040, -0.4394
6802, 504000, -0.4331
6811, 504960, -0.421
6820, 505920, -0.3652
6828, 506880, -0.3989
6838, 507840, -0.3429
6847, 508800, -0.4136
6855, 509760, -0.3869
6864, 510720, -0.3759
6873, 511680, -0.4498
6882, 512640, -0.8199
6890, 513600, 0.0165
6899, 514560, -0.3998
6908, 515520, -0.3923
6916, 516480, -0.4272
6925, 517440, -0.4055
6933, 518400, -0.493
6942, 519360, -0.3532
