episode,timestep,reward
25, 600, -0.0614
54, 1200, -0.0602
88, 1800, -0.0448
122, 2400, -0.0488
155, 3000, -0.0485
197, 3600, -0.0484
242, 4200, -0.0359
283, 4800, -0.0337
328, 5400, -0.042
365, 6000, -0.0477
404, 6600, -0.0375
437, 7200, -0.2066
473, 7800, 0.0513
523, 8400, -0.0323
574, 9000, -0.04
626, 9600, -0.0316
681, 10200, -0.0294
732, 10800, -0.0315
776, 11400, -0.0435
823, 12000, -0.0367
868, 12600, -0.0405
908, 13200, -0.0434
962, 13800, -0.0327
1013, 14400, -0.0311
1060, 15000, -0.0433
1100, 15600, -0.0456
1143, 16200, -0.0392
1190, 16800, -0.0389
1243, 17400, -0.0325
1296, 18000, -0.0323
1344, 18600, -0.0329
1382, 19200, -0.0544
1431, 19800, -0.032
1477, 20400, -0.0391
1528, 21000, -0.0308
1569, 21600, -0.0569
1619, 22200, -0.0304
1670, 22800, -0.0332
1716, 23400, -0.0295
1763, 24000, -0.0325
1792, 24600, -0.1055
1832, 25200, -0.0155
1868, 25800, -0.0441
1909, 26400, -0.0525
1953, 27000, -0.0395
1990, 27600, -0.0458
2029, 28200, -0.0371
2060, 28800, -0.0623
2098, 29400, -0.0447
2124, 30000, -0.0964
2162, 30600, -0.0424
2201, 31200, -0.0395
2231, 31800, -0.0608
2262, 32400, -0.0717
2306, 33000, -0.0348
2346, 33600, -0.04
2384, 34200, -0.0415
2424, 34800, -0.0408
2463, 35400, -0.049
2506, 36000, -0.0301
2548, 36600, -0.0356
2591, 37200, -0.0368
2624, 37800, -0.0539
2658, 38400, -0.0452
2694, 39000, -0.0447
2719, 39600, -0.0818
2750, 40200, -0.0447
2785, 40800, -0.0387
2821, 41400, -0.0377
2853, 42000, -0.055
2885, 42600, -0.0365
2917, 43200, -0.0556
2951, 43800, -0.041
2980, 44400, -0.0626
3012, 45000, -0.0394
3045, 45600, -0.0394
3077, 46200, -0.0494
3108, 46800, -0.0595
3143, 47400, -0.0344
3178, 48000, -0.0391
3210, 48600, -0.0434
3238, 49200, -0.0593
3272, 49800, -0.042
3301, 50400, -0.0558
3334, 51000, -0.0434
3362, 51600, -0.0522
3392, 52200, -0.0535
3417, 52800, -0.0864
3448, 53400, -0.0373
3482, 54000, -0.0431
3512, 54600, -0.0457
3544, 55200, -0.0499
3573, 55800, -0.0409
3603, 56400, -0.0535
3632, 57000, -0.0522
3661, 57600, -0.0485
3688, 58200, -0.0586
3717, 58800, -0.0465
3744, 59400, -0.0599
3769, 60000, -0.0512
3790, 60600, -0.0947
3817, 61200, -0.059
3841, 61800, -0.0636
3864, 62400, -0.0616
3884, 63000, -0.124
3907, 63600, -0.0538
3935, 64200, 0.2683
3967, 64800, -0.0423
3998, 65400, -0.0658
4029, 66000, -0.0641
4058, 66600, -0.0573
4089, 67200, -0.0635
4119, 67800, -0.0604
4151, 68400, -0.0477
4183, 69000, -0.0667
4212, 69600, -0.0612
4241, 70200, -0.0755
4272, 70800, -0.0614
4299, 71400, -0.0985
4329, 72000, -0.0679
4357, 72600, -0.0654
4384, 73200, -0.0879
4410, 73800, -0.0709
4438, 74400, -0.1346
4464, 75000, -0.1027
4491, 75600, -0.0816
4511, 76200, -0.216
4535, 76800, -0.0923
4561, 77400, -0.0828
4585, 78000, -0.1332
4606, 78600, -0.1581
4625, 79200, -0.1961
4650, 79800, -0.1347
4667, 80400, -0.2236
4689, 81000, -0.1442
4713, 81600, -0.1653
4736, 82200, -0.146
4755, 82800, -0.2164
4777, 83400, -0.1565
4795, 84000, -0.2218
4810, 84600, -0.2514
4837, 85200, -0.1462
4859, 85800, -0.1662
4878, 86400, -0.1372
4897, 87000, -0.2393
4924, 87600, -0.0789
4950, 88200, -0.1491
4973, 88800, -0.1479
4999, 89400, -0.1317
5019, 90000, -0.1536
5043, 90600, -0.1588
5070, 91200, -0.1035
5095, 91800, -0.1343
5115, 92400, -0.1969
5134, 93000, -0.1482
5162, 93600, -0.1086
5190, 94200, -0.1205
5214, 94800, -0.1359
5237, 95400, -0.1596
5253, 96000, -0.2046
5275, 96600, -0.148
5300, 97200, -0.1349
5323, 97800, -0.1531
5345, 98400, -0.1716
5365, 99000, -0.1831
5385, 99600, -0.1732
5405, 100200, -0.1255
5426, 100800, -0.1673
5444, 101400, -0.2685
5463, 102000, -0.1761
5482, 102600, -0.1993
5497, 103200, -0.2502
5512, 103800, -0.221
5527, 104400, -0.1921
5546, 105000, -0.2931
5566, 105600, -0.0994
5582, 106200, -0.2464
5601, 106800, -0.1883
5617, 107400, -0.1842
5634, 108000, -0.1806
