episode,timestep,reward
20, 600, -0.0967
38, 1200, -0.0812
48, 1800, -0.1095
70, 2400, -0.1498
85, 3000, -0.0616
107, 3600, -0.0656
126, 4200, -0.1153
146, 4800, -0.0425
172, 5400, -0.2215
203, 6000, 0.0916
224, 6600, -0.0952
248, 7200, -0.057
259, 7800, -0.2
285, 8400, -0.0255
310, 9000, -0.0751
332, 9600, -0.0593
350, 10200, -0.1218
367, 10800, -0.0686
386, 11400, -0.1423
396, 12000, -0.04
417, 12600, -0.142
440, 13200, -0.0405
459, 13800, -0.1267
482, 14400, -0.0198
500, 15000, -0.1095
518, 15600, -0.1881
538, 16200, 0.023
566, 16800, -0.045
582, 17400, -0.1617
600, 18000, -0.0455
622, 18600, -0.0539
638, 19200, -0.1253
662, 19800, -0.0608
685, 20400, -0.0584
713, 21000, -0.0808
737, 21600, -0.0472
762, 22200, -0.216
783, 22800, 0.1194
792, 23400, -0.1458
808, 24000, -0.1339
827, 24600, -0.081
842, 25200, -0.146
863, 25800, -0.0457
879, 26400, -0.1106
894, 27000, -0.132
912, 27600, -0.0503
928, 28200, -0.1063
945, 28800, -0.0994
960, 29400, -0.0842
978, 30000, -0.1151
997, 30600, -0.2974
1012, 31200, 0.1689
1036, 31800, -0.1025
1067, 32400, -0.0281
1087, 33000, -0.0678
1109, 33600, -0.0874
1127, 34200, -0.1175
1153, 34800, -0.0355
1177, 35400, -0.055
1201, 36000, -0.0689
1221, 36600, -0.1268
1242, 37200, -0.0219
1256, 37800, -0.1365
1277, 38400, -0.0629
1297, 39000, -0.0887
1324, 39600, -0.0597
1346, 40200, -0.0611
1367, 40800, -0.0769
1393, 41400, -0.0571
1412, 42000, -0.08
1427, 42600, -0.1109
1448, 43200, -0.097
1470, 43800, -0.0791
1482, 44400, -0.1168
1495, 45000, -0.1059
1516, 45600, -0.072
1526, 46200, -0.1661
1541, 46800, -0.0941
1565, 47400, -0.0662
1581, 48000, -0.1456
1603, 48600, -0.0505
1626, 49200, -0.0686
1644, 49800, -0.0711
1650, 50400, -0.1639
1677, 51000, -0.0934
1698, 51600, -0.0702
1717, 52200, -0.0794
1739, 52800, -0.0712
1760, 53400, -0.0771
1784, 54000, -0.0661
1805, 54600, -0.0751
1825, 55200, -0.086
1848, 55800, -0.0574
1864, 56400, -0.1245
1884, 57000, -0.0845
1906, 57600, -0.0629
1926, 58200, -0.2673
1943, 58800, -0.1031
1962, 59400, 0.1172
1985, 60000, -0.0753
2007, 60600, -0.0772
2028, 61200, -0.0639
2049, 61800, -0.0915
2061, 62400, -0.0917
2076, 63000, -0.1405
2103, 63600, -0.063
2120, 64200, -0.1021
2135, 64800, -0.2978
2150, 65400, 0.0359
2169, 66000, -0.0739
2181, 66600, -0.0903
2194, 67200, -0.158
2219, 67800, -0.0674
2236, 68400, -0.0736
2259, 69000, -0.0841
2277, 69600, -0.0983
2309, 70200, -0.045
2330, 70800, -0.0819
2353, 71400, -0.0586
2379, 72000, -0.0767
2397, 72600, -0.0515
2413, 73200, -0.1515
2429, 73800, -0.0357
2440, 74400, -0.1677
2456, 75000, -0.1068
2467, 75600, -0.1878
2485, 76200, -0.1095
2503, 76800, -0.087
2523, 77400, -0.138
2546, 78000, -0.1206
2573, 78600, 0.0369
2587, 79200, -0.1367
2606, 79800, -0.1373
2625, 80400, -0.0598
2643, 81000, -0.0764
2664, 81600, -0.0756
