episode,total_steps,episode_reward,episode_length
1,0,-5.6390237479956555,1
2,0,10.0,1
3,0,10.0,1
4,4,0.7204458210074552,1
5,4,0.7207496581803039,1
6,8,10.0,1
7,8,-1.3363209933451021,1
8,12,1.0518506767638875,1
9,12,0.10304455813745324,1
10,16,-3.7186033504462643,1
11,16,7.192755832238693,1
12,20,2.9740603083167945,1
13,20,-6.97250625008678,1
14,24,-5.625774713573381,1
15,24,1.3974158511963133,1
16,28,10.0,1
17,28,-0.4612759517874305,1
18,32,0.7184065737841548,1
19,32,10.0,1
20,36,-1.2198103261450297,1
21,36,-1.1061958967164491,1
22,40,1.0326831354210748,1
23,40,10.0,1
24,44,10.0,1
25,44,-1.0284076226128906,1
26,48,0.006982374062180199,1
27,48,10.0,1
28,52,-0.806574687639121,1
29,52,1.303188593788186,1
30,56,1.0543573848634684,1
31,56,0.22383703553566098,1
32,60,-2.0726511245728294,1
33,60,-2.325386675440865,1
34,64,2.0015918719503296,1
35,64,-1.0523759800666583,1
36,68,-0.8359792922593798,1
37,68,0.261244958529919,1
38,72,-1.212376918123258,1
39,72,2.0553149546128604,1
40,76,2.879467921371504,1
41,76,-0.5642419499343696,1
42,80,10.0,1
43,80,-1.4650128935268973,1
44,84,0.0,1
45,84,10.0,1
46,88,0.0,1
47,88,0.0,1
48,92,0.0,1
49,92,0.0,1
50,96,0.0,1
51,96,0.0,1
52,100,0.0,1
53,100,0.0,1
54,104,0.0,1
55,104,0.0,1
56,108,0.0,1
57,108,0.0,1
58,112,0.0,1
59,112,0.0,1
60,112,0.46376894993006157,29
61,116,0.0,1
62,116,0.0,1
63,120,0.0,1
64,120,0.0,1
65,124,0.0,1
66,124,0.0,1
67,128,0.0,1
68,128,0.0,1
69,132,3.7718907026191686,33
70,132,0.0,1
71,132,0.0,1
72,136,0.0,1
73,136,0.0,1
74,140,0.0,1
75,140,0.0,1
76,144,0.0,1
77,144,0.0,1
78,148,0.0,1
79,148,0.0,1
80,152,0.0,1
81,152,0.0,1
82,156,0.0,1
83,156,0.0,1
84,160,0.0,1
85,160,0.0,1
86,164,0.0,1
87,164,0.0,1
88,168,0.0,1
89,168,0.0,1
90,172,0.0,1
91,172,0.0,1
92,176,0.0,1
93,176,0.0,1
94,180,0.0,1
95,180,0.0,1
96,184,0.0,1
97,184,0.0,1
98,188,0.0,1
99,188,0.0,1
100,192,0.0,1
101,192,0.0,1
102,196,0.0,1
103,196,0.0,1
104,200,0.0,1
105,200,0.0,1
106,204,0.0,1
107,204,0.0,1
108,208,0.0,1
109,208,0.0,1
110,212,0.0,1
111,212,0.0,1
112,216,0.0,1
113,216,0.0,1
114,220,0.0,1
115,220,0.0,1
116,224,0.0,1
117,224,0.0,1
118,228,0.0,1
119,228,0.0,1
120,232,0.0,1
121,232,0.0,1
122,236,0.0,1
123,236,0.0,1
124,240,0.0,1
125,240,0.0,1
126,244,0.0,1
127,244,0.0,1
128,248,0.0,1
129,248,0.0,1
130,252,0.0,1
131,252,0.0,1
132,256,0.0,1
133,256,0.0,1
134,260,0.0,1
135,260,0.0,1
136,264,0.0,1
137,264,0.0,1
138,268,0.0,1
139,268,0.0,1
140,272,0.0,1
141,272,0.0,1
142,276,0.0,1
143,276,0.0,1
144,280,0.0,1
145,280,0.0,1
146,284,0.0,1
147,284,0.0,1
148,288,0.0,1
149,288,0.0,1
150,292,-0.4063469239576528,40
151,292,0.0,1
152,292,0.0,1
153,296,0.0,1
154,296,0.0,1
155,300,0.0,1
156,300,0.0,1
157,304,0.0,1
158,304,0.0,1
159,308,0.0,1
160,308,0.0,1
161,312,0.0,1
162,312,0.0,1
163,312,8.495605794587428,50
164,316,0.0,1
165,316,0.0,1
166,316,0.07881254066840486,1
167,320,0.0,1
168,320,0.0,1
169,324,0.0,1
170,324,0.0,1
171,328,0.0,1
172,328,0.0,1
173,332,0.0,1
174,332,0.0,1
175,336,0.0,1
176,336,0.0,1
177,340,0.0,1
178,340,0.0,1
179,344,0.0,1
180,344,0.0,1
181,348,0.0,1
182,348,0.0,1
183,352,0.0,1
184,352,0.0,1
185,356,0.0,1
186,356,0.0,1
187,360,0.0,1
188,360,0.0,1
189,364,0.0,1
190,364,0.0,1
191,368,0.0,1
192,368,0.0,1
193,372,0.0,1
194,372,0.0,1
195,376,0.0,1
196,376,0.0,1
197,380,0.0,1
198,380,0.0,1
199,384,0.0,1
200,384,0.0,1
201,388,0.0,1
202,388,0.0,1
203,392,0.0,1
204,392,0.0,1
205,396,0.0,1
206,396,0.0,1
207,400,0.0,1
208,400,0.0,1
209,404,0.0,1
210,404,0.0,1
211,408,0.0,1
212,408,0.0,1
213,412,0.0,1
214,412,0.0,1
215,416,0.0,1
216,416,0.0,1
217,420,0.0,1
218,420,0.0,1
219,424,0.0,1
220,424,0.0,1
221,428,0.0,1
222,428,0.0,1
223,432,0.0,1
224,432,0.0,1
225,436,0.0,1
226,436,0.0,1
227,440,0.0,1
228,440,0.0,1
229,444,0.0,1
230,444,0.0,1
231,448,0.0,1
232,448,0.0,1
233,452,0.0,1
234,452,0.0,1
235,456,0.0,1
236,456,0.0,1
237,460,0.0,1
238,460,0.0,1
239,464,0.0,1
240,464,0.0,1
241,468,0.0,1
242,468,0.0,1
243,472,0.0,1
244,472,0.0,1
245,476,0.0,1
246,476,0.0,1
247,480,0.0,1
248,480,0.0,1
249,484,0.0,1
250,484,0.0,1
251,488,0.0,1
252,488,0.0,1
253,492,0.0,1
254,492,0.0,1
255,496,0.0,1
256,496,0.0,1
257,500,0.0,1
258,500,0.0,1
