episode,timestep,reward
44, 480, -9.9135
86, 960, -12.2096
133, 1440, -8.1559
183, 1920, -4.6505
233, 2400, -1.3536
285, 2880, -1.4247
343, 3360, -0.2426
398, 3840, 0.9343
456, 4320, -0.1649
515, 4800, 1.4993
574, 5280, 1.5353
634, 5760, 1.4935
694, 6240, 1.6809
753, 6720, 1.6224
807, 7200, 1.0669
865, 7680, 1.7139
922, 8160, 2.0025
978, 8640, 1.8398
1031, 9120, 1.3951
1084, 9600, 2.3776
1138, 10080, 2.2635
1193, 10560, 2.1127
1246, 11040, 2.3646
1300, 11520, 2.2341
1344, 12000, 2.7239
1392, 12480, 2.1031
1433, 12960, 3.6829
1475, 13440, 3.5386
1511, 13920, 4.8986
1550, 14400, 4.0169
1582, 14880, 5.7654
1616, 15360, 5.5635
1641, 15840, 0.7672
1669, 16320, 4.7025
1698, 16800, 6.8764
1726, 17280, 4.0159
1751, 17760, 9.1731
1777, 18240, 1.6278
1798, 18720, 12.5138
1822, 19200, 3.1593
1850, 19680, 7.7292
1875, 20160, 9.886
1899, 20640, 12.6145
1921, 21120, 13.3946
1944, 21600, 10.6878
1964, 22080, 15.343
1984, 22560, 14.3211
2003, 23040, 19.5114
2018, 23520, 22.7296
2033, 24000, 20.5409
2047, 24480, 27.7492
2061, 24960, 22.0528
2075, 25440, 25.4773
2089, 25920, 29.9956
2102, 26400, 40.4881
2115, 26880, 35.6336
2128, 27360, 36.6816
2140, 27840, 25.3422
2151, 28320, 45.4461
2164, 28800, 38.894
2176, 29280, 44.7542
2189, 29760, 40.3758
2199, 30240, 50.8205
2209, 30720, 52.8981
2220, 31200, 45.9627
2231, 31680, 45.5149
2242, 32160, 55.4556
2252, 32640, 50.1349
2262, 33120, 52.5959
2272, 33600, 51.112
2282, 34080, 54.9112
2292, 34560, 49.0735
2301, 35040, 58.2963
2311, 35520, 48.5351
2320, 36000, 53.6314
2330, 36480, 53.9438
2338, 36960, 59.5921
2347, 37440, 57.0117
2356, 37920, 58.4669
2366, 38400, 56.8305
2375, 38880, 59.1387
2384, 39360, 58.268
2394, 39840, 53.9622
2404, 40320, 55.3884
2413, 40800, 60.0596
2422, 41280, 58.2403
2430, 41760, 61.7392
2440, 42240, 57.1138
2449, 42720, 43.5338
2457, 43200, 61.2587
2465, 43680, 64.2632
2473, 44160, 66.7482
2482, 44640, 60.4306
2490, 45120, 64.6615
2498, 45600, 77.6976
2506, 46080, 69.246
2513, 46560, 72.3105
2520, 47040, 78.9459
2528, 47520, 71.2065
2535, 48000, 62.2373
2542, 48480, 84.4742
