episode,timestep,ep_reward,ep_len,success,level,success_rate,range_min,range_max,action_std
0,25,2.888,25,0,0,0.000,0.050,0.250,0.600
1,34,1.821,9,0,0,0.000,0.050,0.250,0.600
2,46,3.841,12,0,0,0.000,0.050,0.250,0.600
3,62,2.186,16,0,0,0.000,0.050,0.250,0.600
4,73,1.169,11,0,0,0.000,0.050,0.250,0.600
5,83,1.985,10,0,0,0.000,0.050,0.250,0.600
6,116,29.554,33,0,0,0.000,0.050,0.250,0.600
7,134,2.291,18,0,0,0.000,0.050,0.250,0.600
8,148,2.477,14,0,0,0.000,0.050,0.250,0.600
9,158,3.019,10,0,0,0.000,0.050,0.250,0.600
10,169,2.503,11,0,0,0.000,0.050,0.250,0.600
11,182,4.521,13,0,0,0.000,0.050,0.250,0.600
12,197,7.180,15,0,0,0.000,0.050,0.250,0.600
13,218,-7.096,21,0,0,0.000,0.050,0.250,0.600
14,228,0.795,10,0,0,0.000,0.050,0.250,0.600
15,240,4.810,12,0,0,0.000,0.050,0.250,0.600
16,250,1.113,10,0,0,0.000,0.050,0.250,0.600
17,261,0.610,11,0,0,0.000,0.050,0.250,0.600
18,288,-7.902,27,0,0,0.000,0.050,0.250,0.600
19,298,2.799,10,0,0,0.000,0.050,0.250,0.600
20,320,12.290,22,0,0,0.000,0.050,0.250,0.600
21,334,0.861,14,0,0,0.000,0.050,0.250,0.600
22,347,2.670,13,0,0,0.000,0.050,0.250,0.600
23,366,8.604,19,0,0,0.000,0.050,0.250,0.600
24,373,0.808,7,0,0,0.000,0.050,0.250,0.600
25,384,2.638,11,0,0,0.000,0.050,0.250,0.600
26,396,1.012,12,0,0,0.000,0.050,0.250,0.600
27,405,2.475,9,0,0,0.000,0.050,0.250,0.600
28,416,1.201,11,0,0,0.000,0.050,0.250,0.600
29,427,0.747,11,0,0,0.000,0.050,0.250,0.600
30,445,-5.021,18,0,0,0.000,0.050,0.250,0.600
31,470,-1.015,25,0,0,0.000,0.050,0.250,0.600
32,485,5.668,15,0,0,0.000,0.050,0.250,0.600
33,496,0.811,11,0,0,0.000,0.050,0.250,0.600
34,509,0.928,13,0,0,0.000,0.050,0.250,0.600
35,517,1.967,8,0,0,0.000,0.050,0.250,0.600
36,536,8.055,19,0,0,0.000,0.050,0.250,0.600
37,549,0.999,13,0,0,0.000,0.050,0.250,0.600
38,567,8.800,18,0,0,0.000,0.050,0.250,0.600
39,598,3.036,31,0,0,0.000,0.050,0.250,0.600
40,606,1.659,8,0,0,0.000,0.050,0.250,0.600
41,615,2.317,9,0,0,0.000,0.050,0.250,0.600
42,624,2.617,9,0,0,0.000,0.050,0.250,0.600
43,644,2.385,20,0,0,0.000,0.050,0.250,0.600
44,656,1.210,12,0,0,0.000,0.050,0.250,0.600
45,672,1.535,16,0,0,0.000,0.050,0.250,0.600
46,695,1.129,23,0,0,0.000,0.050,0.250,0.600
47,708,0.822,13,0,0,0.000,0.050,0.250,0.600
48,715,1.488,7,0,0,0.000,0.050,0.250,0.600
49,729,1.166,14,0,0,0.000,0.050,0.250,0.600
50,742,2.318,13,0,0,0.000,0.050,0.250,0.600
51,756,4.533,14,0,0,0.000,0.050,0.250,0.600
52,777,-9.235,21,0,0,0.000,0.050,0.250,0.600
53,796,5.872,19,0,0,0.000,0.050,0.250,0.600
54,802,1.341,6,0,0,0.000,0.050,0.250,0.600
55,813,3.377,11,0,0,0.000,0.050,0.250,0.600
56,827,2.853,14,0,0,0.000,0.050,0.250,0.600
57,849,2.695,22,0,0,0.000,0.050,0.250,0.600
58,859,2.005,10,0,0,0.000,0.050,0.250,0.600
59,881,2.729,22,0,0,0.000,0.050,0.250,0.600
60,900,2.733,19,0,0,0.000,0.050,0.250,0.600
61,920,-8.572,20,0,0,0.000,0.050,0.250,0.600
62,938,-4.571,18,0,0,0.000,0.050,0.250,0.600
63,951,3.379,13,0,0,0.000,0.050,0.250,0.600
64,959,0.849,8,0,0,0.000,0.050,0.250,0.600
65,969,1.665,10,0,0,0.000,0.050,0.250,0.600
66,987,-3.237,18,0,0,0.000,0.050,0.250,0.600
67,997,3.105,10,0,0,0.000,0.050,0.250,0.600
68,1010,0.630,13,0,0,0.000,0.050,0.250,0.600
69,1020,3.308,10,0,0,0.000,0.050,0.250,0.600
70,1034,2.741,14,0,0,0.000,0.050,0.250,0.600
71,1062,20.676,28,0,0,0.000,0.050,0.250,0.600
72,1076,1.893,14,0,0,0.000,0.050,0.250,0.600
73,1089,4.313,13,0,0,0.000,0.050,0.250,0.600
74,1104,2.461,15,0,0,0.000,0.050,0.250,0.600
75,1113,1.076,9,0,0,0.000,0.050,0.250,0.600
76,1125,3.699,12,0,0,0.000,0.050,0.250,0.600
77,1149,3.115,24,0,0,0.000,0.050,0.250,0.600
78,1163,1.032,14,0,0,0.000,0.050,0.250,0.600
79,1176,3.014,13,0,0,0.000,0.050,0.250,0.600
80,1189,2.260,13,0,0,0.000,0.050,0.250,0.600
81,1202,3.595,13,0,0,0.000,0.050,0.250,0.600
82,1239,2.833,37,0,0,0.000,0.050,0.250,0.600
83,1249,3.938,10,0,0,0.000,0.050,0.250,0.600
84,1261,4.546,12,0,0,0.000,0.050,0.250,0.600
85,1274,6.163,13,0,0,0.000,0.050,0.250,0.600
86,1289,7.867,15,0,0,0.000,0.050,0.250,0.600
87,1306,3.362,17,0,0,0.000,0.050,0.250,0.600
88,1331,-3.494,25,0,0,0.000,0.050,0.250,0.600
89,1348,1.669,17,0,0,0.000,0.050,0.250,0.600
90,1360,2.012,12,0,0,0.000,0.050,0.250,0.600
91,1368,1.115,8,0,0,0.000,0.050,0.250,0.600
92,1382,3.222,14,0,0,0.000,0.050,0.250,0.600
93,1394,1.354,12,0,0,0.000,0.050,0.250,0.600
94,1415,0.993,21,0,0,0.000,0.050,0.250,0.600
95,1432,1.852,17,0,0,0.000,0.050,0.250,0.600
96,1446,5.854,14,0,0,0.000,0.050,0.250,0.600
97,1465,1.105,19,0,0,0.000,0.050,0.250,0.600
98,1477,3.222,12,0,0,0.000,0.050,0.250,0.600
99,1500,16.829,23,0,0,0.000,0.050,0.250,0.600
100,1510,1.376,10,0,0,0.000,0.050,0.250,0.600
101,1531,5.759,21,0,0,0.000,0.050,0.250,0.600
102,1550,1.463,19,0,0,0.000,0.050,0.250,0.600
103,1572,-0.027,22,0,0,0.000,0.050,0.250,0.600
104,1582,0.745,10,0,0,0.000,0.050,0.250,0.600
105,1593,1.075,11,0,0,0.000,0.050,0.250,0.600
106,1612,0.778,19,0,0,0.000,0.050,0.250,0.600
107,1621,2.120,9,0,0,0.000,0.050,0.250,0.600
108,1632,1.625,11,0,0,0.000,0.050,0.250,0.600
109,1646,1.785,14,0,0,0.000,0.050,0.250,0.600
110,1662,1.223,16,0,0,0.000,0.050,0.250,0.600
111,1671,0.957,9,0,0,0.000,0.050,0.250,0.600
112,1694,1.833,23,0,0,0.000,0.050,0.250,0.600
113,1708,2.610,14,0,0,0.000,0.050,0.250,0.600
114,1720,1.876,12,0,0,0.000,0.050,0.250,0.600
115,1734,1.309,14,0,0,0.000,0.050,0.250,0.600
116,1751,9.896,17,0,0,0.000,0.050,0.250,0.600
117,1763,3.039,12,0,0,0.000,0.050,0.250,0.600
118,1781,1.964,18,0,0,0.000,0.050,0.250,0.600
119,1795,3.864,14,0,0,0.000,0.050,0.250,0.600
120,1804,1.113,9,0,0,0.000,0.050,0.250,0.600
121,1816,0.929,12,0,0,0.000,0.050,0.250,0.600
122,1826,3.275,10,0,0,0.000,0.050,0.250,0.600
123,1838,4.009,12,0,0,0.000,0.050,0.250,0.600
124,1851,4.253,13,0,0,0.000,0.050,0.250,0.600
125,1862,2.557,11,0,0,0.000,0.050,0.250,0.600
126,1876,1.207,14,0,0,0.000,0.050,0.250,0.600
127,1886,2.907,10,0,0,0.000,0.050,0.250,0.600
128,1903,4.045,17,0,0,0.000,0.050,0.250,0.600
129,1934,-7.237,31,0,0,0.000,0.050,0.250,0.600
130,1941,1.473,7,0,0,0.000,0.050,0.250,0.600
131,1962,2.826,21,0,0,0.000,0.050,0.250,0.600
132,1972,0.868,10,0,0,0.000,0.050,0.250,0.600
133,1990,1.770,18,0,0,0.000,0.050,0.250,0.600
134,2001,1.231,11,0,0,0.000,0.050,0.250,0.600
135,2013,0.872,12,0,0,0.000,0.050,0.250,0.600
136,2022,0.679,9,0,0,0.000,0.050,0.250,0.600
137,2033,3.639,11,0,0,0.000,0.050,0.250,0.600
138,2051,4.849,18,0,0,0.000,0.050,0.250,0.600
139,2064,6.219,13,0,0,0.000,0.050,0.250,0.600
140,2075,1.943,11,0,0,0.000,0.050,0.250,0.600
141,2104,-4.083,29,0,0,0.000,0.050,0.250,0.600
142,2124,5.566,20,0,0,0.000,0.050,0.250,0.600
143,2141,1.876,17,0,0,0.000,0.050,0.250,0.600
144,2151,1.547,10,0,0,0.000,0.050,0.250,0.600
145,2160,0.660,9,0,0,0.000,0.050,0.250,0.600
146,2171,2.373,11,0,0,0.000,0.050,0.250,0.600
147,2188,9.268,17,0,0,0.000,0.050,0.250,0.600
148,2206,1.973,18,0,0,0.000,0.050,0.250,0.600
149,2225,7.546,19,0,0,0.000,0.050,0.250,0.600
150,2241,5.997,16,0,0,0.000,0.050,0.250,0.600
151,2261,6.071,20,0,0,0.000,0.050,0.250,0.600
152,2269,1.033,8,0,0,0.000,0.050,0.250,0.600
153,2279,0.671,10,0,0,0.000,0.050,0.250,0.600
154,2290,2.533,11,0,0,0.000,0.050,0.250,0.600
155,2305,10.060,15,0,0,0.000,0.050,0.250,0.600
156,2328,18.548,23,0,0,0.000,0.050,0.250,0.600
157,2343,4.721,15,0,0,0.000,0.050,0.250,0.600
158,2355,4.450,12,0,0,0.000,0.050,0.250,0.600
159,2364,0.613,9,0,0,0.000,0.050,0.250,0.600
160,2388,-8.492,24,0,0,0.000,0.050,0.250,0.600
161,2400,2.864,12,0,0,0.000,0.050,0.250,0.600
162,2409,1.526,9,0,0,0.000,0.050,0.250,0.600
163,2428,3.310,19,0,0,0.000,0.050,0.250,0.600
164,2438,1.164,10,0,0,0.000,0.050,0.250,0.600
165,2452,1.079,14,0,0,0.000,0.050,0.250,0.600
166,2460,2.590,8,0,0,0.000,0.050,0.250,0.600
167,2472,0.833,12,0,0,0.000,0.050,0.250,0.600
168,2495,14.288,23,0,0,0.000,0.050,0.250,0.600
169,2517,-0.024,22,0,0,0.000,0.050,0.250,0.600
170,2533,2.718,16,0,0,0.000,0.050,0.250,0.600
171,2552,1.468,19,0,0,0.000,0.050,0.250,0.600
172,2563,0.716,11,0,0,0.000,0.050,0.250,0.600
173,2577,5.391,14,0,0,0.000,0.050,0.250,0.600
174,2587,1.872,10,0,0,0.000,0.050,0.250,0.600
175,2603,1.474,16,0,0,0.000,0.050,0.250,0.600
176,2623,2.320,20,0,0,0.000,0.050,0.250,0.600
177,2636,2.230,13,0,0,0.000,0.050,0.250,0.600
178,2648,4.216,12,0,0,0.000,0.050,0.250,0.600
179,2660,1.233,12,0,0,0.000,0.050,0.250,0.600
180,2683,13.251,23,0,0,0.000,0.050,0.250,0.600
181,2696,4.105,13,0,0,0.000,0.050,0.250,0.600
182,2709,1.173,13,0,0,0.000,0.050,0.250,0.600
183,2724,3.219,15,0,0,0.000,0.050,0.250,0.600
184,2733,1.135,9,0,0,0.000,0.050,0.250,0.600
185,2756,-5.336,23,0,0,0.000,0.050,0.250,0.600
186,2771,7.427,15,0,0,0.000,0.050,0.250,0.600
187,2783,3.947,12,0,0,0.000,0.050,0.250,0.600
188,2797,4.979,14,0,0,0.000,0.050,0.250,0.600
189,2809,1.606,12,0,0,0.000,0.050,0.250,0.600
190,2823,6.905,14,0,0,0.000,0.050,0.250,0.600
191,2841,3.456,18,0,0,0.000,0.050,0.250,0.600
192,2849,0.643,8,0,0,0.000,0.050,0.250,0.600
193,2863,1.205,14,0,0,0.000,0.050,0.250,0.600
194,2877,2.145,14,0,0,0.000,0.050,0.250,0.600
195,2898,-8.617,21,0,0,0.000,0.050,0.250,0.600
196,2925,14.222,27,0,0,0.000,0.050,0.250,0.600
197,2946,10.134,21,0,0,0.000,0.050,0.250,0.600
198,2960,1.031,14,0,0,0.000,0.050,0.250,0.600
199,2971,2.218,11,0,0,0.000,0.050,0.250,0.600
200,2981,2.587,10,0,0,0.000,0.050,0.250,0.600
201,3023,36.937,42,0,0,0.000,0.050,0.250,0.600
202,3039,6.264,16,0,0,0.000,0.050,0.250,0.600
203,3048,1.141,9,0,0,0.000,0.050,0.250,0.600
204,3071,18.664,23,0,0,0.000,0.050,0.250,0.600
205,3081,3.288,10,0,0,0.000,0.050,0.250,0.600
206,3092,3.253,11,0,0,0.000,0.050,0.250,0.600
207,3101,0.852,9,0,0,0.000,0.050,0.250,0.600
208,3124,5.229,23,0,0,0.000,0.050,0.250,0.600
209,3137,6.187,13,0,0,0.000,0.050,0.250,0.600
210,3147,0.594,10,0,0,0.000,0.050,0.250,0.600
211,3157,3.246,10,0,0,0.000,0.050,0.250,0.600
212,3171,4.036,14,0,0,0.000,0.050,0.250,0.600
213,3186,2.490,15,0,0,0.000,0.050,0.250,0.600
214,3197,2.575,11,0,0,0.000,0.050,0.250,0.600
215,3221,5.989,24,0,0,0.000,0.050,0.250,0.600
216,3235,4.906,14,0,0,0.000,0.050,0.250,0.600
217,3245,1.927,10,0,0,0.000,0.050,0.250,0.600
218,3255,2.653,10,0,0,0.000,0.050,0.250,0.600
219,3274,10.027,19,0,0,0.000,0.050,0.250,0.600
220,3289,7.370,15,0,0,0.000,0.050,0.250,0.600
221,3307,1.237,18,0,0,0.000,0.050,0.250,0.600
222,3318,1.018,11,0,0,0.000,0.050,0.250,0.600
223,3343,3.045,25,0,0,0.000,0.050,0.250,0.600
224,3353,3.845,10,0,0,0.000,0.050,0.250,0.600
225,3372,-7.004,19,0,0,0.000,0.050,0.250,0.600
226,3382,3.583,10,0,0,0.000,0.050,0.250,0.600
227,3399,9.074,17,0,0,0.000,0.050,0.250,0.600
228,3425,12.477,26,0,0,0.000,0.050,0.250,0.600
229,3437,4.089,12,0,0,0.000,0.050,0.250,0.600
230,3455,2.260,18,0,0,0.000,0.050,0.250,0.600
231,3474,3.781,19,0,0,0.000,0.050,0.250,0.600
232,3486,4.623,12,0,0,0.000,0.050,0.250,0.600
233,3499,3.910,13,0,0,0.000,0.050,0.250,0.600
234,3511,4.170,12,0,0,0.000,0.050,0.250,0.600
235,3520,3.055,9,0,0,0.000,0.050,0.250,0.600
236,3530,3.704,10,0,0,0.000,0.050,0.250,0.600
237,3546,1.956,16,0,0,0.000,0.050,0.250,0.600
238,3562,2.381,16,0,0,0.000,0.050,0.250,0.600
239,3578,6.822,16,0,0,0.000,0.050,0.250,0.600
240,3587,0.541,9,0,0,0.000,0.050,0.250,0.600
241,3597,1.597,10,0,0,0.000,0.050,0.250,0.600
242,3609,4.227,12,0,0,0.000,0.050,0.250,0.600
243,3621,1.107,12,0,0,0.000,0.050,0.250,0.600
244,3637,1.801,16,0,0,0.000,0.050,0.250,0.600
245,3650,2.845,13,0,0,0.000,0.050,0.250,0.600
246,3662,2.768,12,0,0,0.000,0.050,0.250,0.600
247,3672,2.550,10,0,0,0.000,0.050,0.250,0.600
248,3685,2.866,13,0,0,0.000,0.050,0.250,0.600
249,3704,8.562,19,0,0,0.000,0.050,0.250,0.600
250,3724,9.814,20,0,0,0.000,0.050,0.250,0.600
251,3735,4.494,11,0,0,0.000,0.050,0.250,0.600
252,3743,0.884,8,0,0,0.000,0.050,0.250,0.600
253,3759,3.998,16,0,0,0.000,0.050,0.250,0.600
254,3769,1.983,10,0,0,0.000,0.050,0.250,0.600
255,3779,2.983,10,0,0,0.000,0.050,0.250,0.600
256,3794,2.989,15,0,0,0.000,0.050,0.250,0.600
257,3807,5.320,13,0,0,0.000,0.050,0.250,0.600
258,3816,2.721,9,0,0,0.000,0.050,0.250,0.600
259,3827,3.706,11,0,0,0.000,0.050,0.250,0.600
260,3854,13.118,27,0,0,0.000,0.050,0.250,0.600
261,3880,9.968,26,0,0,0.000,0.050,0.250,0.600
262,3909,13.487,29,0,0,0.000,0.050,0.250,0.600
263,3921,3.679,12,0,0,0.000,0.050,0.250,0.600
264,3937,1.753,16,0,0,0.000,0.050,0.250,0.600
265,3955,8.208,18,0,0,0.000,0.050,0.250,0.600
266,3970,4.396,15,0,0,0.000,0.050,0.250,0.600
267,3979,1.322,9,0,0,0.000,0.050,0.250,0.600
268,4008,1.937,29,0,0,0.000,0.050,0.250,0.600
269,4032,1.920,24,0,0,0.000,0.050,0.250,0.600
270,4065,6.050,33,0,0,0.000,0.050,0.250,0.600
271,4087,-8.998,22,0,0,0.000,0.050,0.250,0.600
272,4103,1.463,16,0,0,0.000,0.050,0.250,0.600
273,4127,-7.462,24,0,0,0.000,0.050,0.250,0.600
274,4149,1.434,22,0,0,0.000,0.050,0.250,0.600
275,4161,3.322,12,0,0,0.000,0.050,0.250,0.600
276,4170,2.953,9,0,0,0.000,0.050,0.250,0.600
277,4187,10.627,17,0,0,0.000,0.050,0.250,0.600
278,4197,1.062,10,0,0,0.000,0.050,0.250,0.600
279,4205,0.758,8,0,0,0.000,0.050,0.250,0.600
280,4218,1.461,13,0,0,0.000,0.050,0.250,0.600
281,4247,-8.358,29,0,0,0.000,0.050,0.250,0.600
282,4260,4.458,13,0,0,0.000,0.050,0.250,0.600
283,4271,0.792,11,0,0,0.000,0.050,0.250,0.600
284,4286,3.595,15,0,0,0.000,0.050,0.250,0.600
285,4306,2.658,20,0,0,0.000,0.050,0.250,0.600
286,4337,13.956,31,0,0,0.000,0.050,0.250,0.600
287,4353,6.556,16,0,0,0.000,0.050,0.250,0.600
288,4364,1.265,11,0,0,0.000,0.050,0.250,0.600
289,4378,5.628,14,0,0,0.000,0.050,0.250,0.600
290,4396,2.188,18,0,0,0.000,0.050,0.250,0.600
291,4410,6.954,14,0,0,0.000,0.050,0.250,0.600
292,4426,8.150,16,0,0,0.000,0.050,0.250,0.600
293,4437,3.157,11,0,0,0.000,0.050,0.250,0.600
294,4452,5.697,15,0,0,0.000,0.050,0.250,0.600
295,4472,7.067,20,0,0,0.000,0.050,0.250,0.600
296,4496,9.648,24,0,0,0.000,0.050,0.250,0.600
297,4512,2.028,16,0,0,0.000,0.050,0.250,0.600
298,4522,0.927,10,0,0,0.000,0.050,0.250,0.600
299,4536,5.223,14,0,0,0.000,0.050,0.250,0.600
300,4572,4.187,36,0,0,0.000,0.050,0.250,0.600
301,4592,-3.253,20,0,0,0.000,0.050,0.250,0.600
302,4600,2.485,8,0,0,0.000,0.050,0.250,0.600
303,4617,4.902,17,0,0,0.000,0.050,0.250,0.600
304,4624,1.645,7,0,0,0.000,0.050,0.250,0.600
305,4640,1.455,16,0,0,0.000,0.050,0.250,0.600
306,4654,6.455,14,0,0,0.000,0.050,0.250,0.600
307,4673,10.210,19,0,0,0.000,0.050,0.250,0.600
308,4689,3.896,16,0,0,0.000,0.050,0.250,0.600
309,4700,4.308,11,0,0,0.000,0.050,0.250,0.600
310,4713,6.254,13,0,0,0.000,0.050,0.250,0.600
311,4722,3.333,9,0,0,0.000,0.050,0.250,0.600
312,4742,10.771,20,0,0,0.000,0.050,0.250,0.600
313,4763,13.576,21,0,0,0.000,0.050,0.250,0.600
314,4772,2.203,9,0,0,0.000,0.050,0.250,0.600
315,4790,10.932,18,0,0,0.000,0.050,0.250,0.600
316,4816,23.224,26,0,0,0.000,0.050,0.250,0.600
317,4829,6.228,13,0,0,0.000,0.050,0.250,0.600
318,4841,4.257,12,0,0,0.000,0.050,0.250,0.600
319,4855,1.719,14,0,0,0.000,0.050,0.250,0.600
320,4866,2.462,11,0,0,0.000,0.050,0.250,0.600
321,4904,-7.600,38,0,0,0.000,0.050,0.250,0.600
322,4921,-3.455,17,0,0,0.000,0.050,0.250,0.600
323,4939,-8.762,18,0,0,0.000,0.050,0.250,0.600
324,4949,1.156,10,0,0,0.000,0.050,0.250,0.600
325,4962,3.575,13,0,0,0.000,0.050,0.250,0.600
326,4979,4.537,17,0,0,0.000,0.050,0.250,0.600
327,5003,6.350,24,0,0,0.000,0.050,0.250,0.600
328,5017,1.494,14,0,0,0.000,0.050,0.250,0.600
329,5027,0.912,10,0,0,0.000,0.050,0.250,0.600
330,5044,6.799,17,0,0,0.000,0.050,0.250,0.600
331,5057,1.595,13,0,0,0.000,0.050,0.250,0.600
332,5075,9.151,18,0,0,0.000,0.050,0.250,0.600
333,5089,4.542,14,0,0,0.000,0.050,0.250,0.600
334,5110,18.270,21,0,0,0.000,0.050,0.250,0.600
335,5129,10.196,19,0,0,0.000,0.050,0.250,0.600
336,5139,1.174,10,0,0,0.000,0.050,0.250,0.600
337,5159,-1.359,20,0,0,0.000,0.050,0.250,0.600
338,5171,1.274,12,0,0,0.000,0.050,0.250,0.600
339,5186,7.080,15,0,0,0.000,0.050,0.250,0.600
340,5200,2.628,14,0,0,0.000,0.050,0.250,0.600
341,5218,1.474,18,0,0,0.000,0.050,0.250,0.600
342,5233,3.727,15,0,0,0.000,0.050,0.250,0.600
343,5255,18.887,22,0,0,0.000,0.050,0.250,0.600
344,5277,2.185,22,0,0,0.000,0.050,0.250,0.600
345,5304,24.173,27,0,0,0.000,0.050,0.250,0.600
346,5313,3.139,9,0,0,0.000,0.050,0.250,0.600
347,5326,6.491,13,0,0,0.000,0.050,0.250,0.600
348,5336,3.296,10,0,0,0.000,0.050,0.250,0.600
349,5356,11.741,20,0,0,0.000,0.050,0.250,0.600
350,5373,9.586,17,0,0,0.000,0.050,0.250,0.600
351,5393,13.765,20,0,0,0.000,0.050,0.250,0.600
352,5413,2.336,20,0,0,0.000,0.050,0.250,0.600
353,5428,1.782,15,0,0,0.000,0.050,0.250,0.600
354,5446,1.086,18,0,0,0.000,0.050,0.250,0.600
355,5456,1.269,10,0,0,0.000,0.050,0.250,0.600
356,5471,5.913,15,0,0,0.000,0.050,0.250,0.600
357,5488,1.075,17,0,0,0.000,0.050,0.250,0.600
358,5507,-6.296,19,0,0,0.000,0.050,0.250,0.600
359,5535,6.439,28,0,0,0.000,0.050,0.250,0.600
360,5575,10.645,40,0,0,0.000,0.050,0.250,0.600
361,5584,2.575,9,0,0,0.000,0.050,0.250,0.600
362,5608,11.668,24,0,0,0.000,0.050,0.250,0.600
363,5623,1.004,15,0,0,0.000,0.050,0.250,0.600
364,5642,5.627,19,0,0,0.000,0.050,0.250,0.600
365,5667,11.700,25,0,0,0.000,0.050,0.250,0.600
366,5684,2.226,17,0,0,0.000,0.050,0.250,0.600
367,5692,2.157,8,0,0,0.000,0.050,0.250,0.600
368,5714,11.115,22,0,0,0.000,0.050,0.250,0.600
369,5735,2.994,21,0,0,0.000,0.050,0.250,0.600
370,5761,11.808,26,0,0,0.000,0.050,0.250,0.600
371,5773,4.943,12,0,0,0.000,0.050,0.250,0.600
372,5784,0.944,11,0,0,0.000,0.050,0.250,0.600
373,5796,2.962,12,0,0,0.000,0.050,0.250,0.600
374,5810,6.920,14,0,0,0.000,0.050,0.250,0.600
375,5820,1.211,10,0,0,0.000,0.050,0.250,0.600
376,5844,16.770,24,0,0,0.000,0.050,0.250,0.600
377,5862,11.146,18,0,0,0.000,0.050,0.250,0.600
378,5876,2.290,14,0,0,0.000,0.050,0.250,0.600
379,5886,3.135,10,0,0,0.000,0.050,0.250,0.600
380,5902,4.710,16,0,0,0.000,0.050,0.250,0.600
381,5912,2.730,10,0,0,0.000,0.050,0.250,0.600
382,5933,5.215,21,0,0,0.000,0.050,0.250,0.600
383,5942,1.420,9,0,0,0.000,0.050,0.250,0.600
384,5953,4.567,11,0,0,0.000,0.050,0.250,0.600
385,5965,4.406,12,0,0,0.000,0.050,0.250,0.600
386,5988,11.298,23,0,0,0.000,0.050,0.250,0.600
387,6004,7.382,16,0,0,0.000,0.050,0.250,0.600
388,6015,4.503,11,0,0,0.000,0.050,0.250,0.600
389,6026,2.897,11,0,0,0.000,0.050,0.250,0.600
390,6038,5.077,12,0,0,0.000,0.050,0.250,0.600
391,6048,2.809,10,0,0,0.000,0.050,0.250,0.600
392,6063,5.859,15,0,0,0.000,0.050,0.250,0.600
393,6083,4.400,20,0,0,0.000,0.050,0.250,0.600
